"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0001533","GO:0001533","cornified envelope","20/1217","60/19886",1.85653469200796e-10,6.27003685108743e-08,5.37643609348124e-08,"KAZN/IVL/SPRR3/SPRR1B/SPRR2A/PKP1/SPRR1A/CSTA/PKP2/SCEL/TGM1/ANXA2/KRT16/DSG3/DSC3/DSC2/SERPINB2/PI3/KLK6/KLK7",20
"GO:0062023","GO:0062023","collagen-containing extracellular matrix","62/1217","429/19886",2.34832840864698e-10,6.27003685108743e-08,5.37643609348124e-08,"F3/TGFB2/S100A10/S100A8/S100A7/MATN3/EFEMP1/COL5A2/FN1/MARCO/COL8A1/ADAMTS9/CCDC80/SEMA3B/TGM4/ABI3BP/COL25A1/FGB/FGA/FGG/VCAN/ADAM19/ANXA6/FBN2/COL12A1/CCN2/SERPINE1/AZGP1/AEBP1/ACHE/SRPX/TIMP1/SRPX2/GPC4/MXRA5/LOXL2/ANGPT1/LAMC3/HMCN2/ECM2/MUC2/ITIH5/COL4A2/COL4A1/LTBP2/SERPINA1/HSP90AA1/THBS1/ANXA2/SEMA7A/CDH2/TGM2/BMP7/COL9A3/ADAMTS10/COL5A3/ANGPTL4/GDF15/PDGFB/TIMP3/CHADL/LGALS1",62
"GO:0045178","GO:0045178","basal part of cell","45/1217","301/19886",2.47036160745244e-08,4.39724366126535e-06,3.77055192716425e-06,"CHRM3/SLC6A9/KCNQ4/CLCA2/TGFA/FAP/PROM2/SLCO2A1/TFRC/CLDN11/SLC2A9/HPGD/ANK2/SLC22A4/EDN1/MAP7/ATP6V0A4/SLC29A4/CLDN4/MSN/ANK1/ABCA1/AQP3/BEST1/ST14/LRRK2/LIN7A/SLC7A8/HSP90AA1/ANXA2/RHCG/ATP2C2/NOD2/SLC16A3/CLDN7/KCNJ16/SLC16A6/MYO1D/CDH2/SLC4A11/LDLR/LIN7B/CEACAM1/PDGFB/SLC19A1",45
"GO:0009925","GO:0009925","basal plasma membrane","42/1217","282/19886",8.0077601889831e-08,1.06903598522924e-05,9.16677811107276e-06,"CHRM3/SLC6A9/KCNQ4/CLCA2/TGFA/PROM2/SLCO2A1/TFRC/SLC2A9/HPGD/ANK2/SLC22A4/MAP7/ATP6V0A4/SLC29A4/CLDN4/MSN/ANK1/ABCA1/AQP3/BEST1/ST14/LRRK2/LIN7A/SLC7A8/HSP90AA1/ANXA2/RHCG/ATP2C2/NOD2/SLC16A3/CLDN7/KCNJ16/SLC16A6/MYO1D/CDH2/SLC4A11/LDLR/LIN7B/CEACAM1/PDGFB/SLC19A1",42
"GO:0045177","GO:0045177","apical part of cell","58/1217","469/19886",2.56263743451528e-07,2.73689678006232e-05,2.34683638739821e-05,"PAPPA2/KCNK1/SLC6A9/VANGL2/DDR2/KIAA1614/FN1/FAP/PROM2/TNIK/SLC6A20/SLC2A9/SLC7A11/ANK2/SLC22A4/SLC26A2/GJA1/CD36/ATP6V0A4/SLC29A4/CLDN4/SNX10/NPC1L1/ADGRG2/EDA/SLC6A14/STK26/MSN/STC1/CA2/MAL2/PLAT/NOTCH1/MYO7A/THY1/PTPRO/SLC2A13/TRPV4/GJB6/SLC7A8/HSP90AA1/HOMER2/RHCG/SCNN1B/SCNN1G/SLC16A3/CDH2/ATP8B1/MYO5B/KCNB1/SLC4A11/CYP4F12/PTPRH/CRB3/LDLR/CEACAM1/HPN/SLC19A1",58
"GO:0016323","GO:0016323","basolateral plasma membrane","36/1217","249/19886",1.3694308905712e-06,0.000109258742190044,9.36872715408424e-05,"CHRM3/SLC6A9/TGFA/PROM2/TFRC/SLC2A9/HPGD/ANK2/MAP7/ATP6V0A4/SLC29A4/MSN/ANK1/ABCA1/AQP3/BEST1/ST14/LRRK2/LIN7A/SLC7A8/HSP90AA1/ANXA2/RHCG/ATP2C2/NOD2/SLC16A3/CLDN7/KCNJ16/SLC16A6/MYO1D/CDH2/SLC4A11/LDLR/LIN7B/PDGFB/SLC19A1",36
"GO:0099572","GO:0099572","postsynaptic specialization","45/1217","346/19886",1.43223070286575e-06,0.000109258742190044,9.36872715408424e-05,"SLC6A9/SH2D5/PDE4B/SLC8A1/GRIP2/TNIK/KALRN/PRKN/ADCY1/NRCAM/GRID2IP/DGKI/NLGN4X/SYN1/HSPA8/ARHGAP32/GRIA4/CPEB3/INSYN2A/SRGN/SORCS3/NEURL1/PTPRO/LIN7A/GRIP1/SCN8A/LRFN5/RTN1/HOMER2/PAK6/SHISA9/NGFR/RNF112/ARHGAP44/SRCIN1/CDH2/KCNB1/DLGAP4/GRIN3B/LIN7B/CACNG8/NLGN4Y/MAPK8IP2/P2RX6/SHANK3",45
"GO:0098984","GO:0098984","neuron to neuron synapse","46/1217","362/19886",2.09559266501133e-06,0.000139880810389506,0.000119945106484201,"SLC6A9/SH2D5/PDE4B/RAPGEF4/SLC8A1/GRIP2/TNIK/KALRN/PRKN/ADCY1/NRCAM/GRID2IP/PRKAR1B/DGKI/NLGN4X/SYN1/MAL2/SYT7/SYT12/ARHGAP32/GRIA4/CPEB3/INSYN2A/SORCS3/NEURL1/PTPRO/LIN7A/GRIP1/SCN8A/LRFN5/RTN1/HOMER2/PAK6/SHISA9/NGFR/RNF112/ARHGAP44/SRCIN1/CDH2/PDYN/GRIN3B/LIN7B/CACNG8/NLGN4Y/MAPK8IP2/SHANK3",46
"GO:0016324","GO:0016324","apical plasma membrane","49/1217","403/19886",3.49503101873846e-06,0.000207371840445149,0.000177817367620027,"PAPPA2/KCNK1/SLC6A9/VANGL2/DDR2/KIAA1614/FN1/PROM2/TNIK/SLC6A20/SLC2A9/ANK2/SLC22A4/SLC26A2/GJA1/CD36/ATP6V0A4/SLC29A4/CLDN4/NPC1L1/ADGRG2/SLC6A14/STK26/MSN/STC1/MAL2/NOTCH1/MYO7A/THY1/PTPRO/SLC2A13/TRPV4/GJB6/SLC7A8/HSP90AA1/RHCG/SCNN1B/SCNN1G/SLC16A3/CDH2/ATP8B1/KCNB1/SLC4A11/CYP4F12/PTPRH/CRB3/CEACAM1/HPN/SLC19A1",49
"GO:0005902","GO:0005902","microvillus","19/1217","97/19886",5.57708031941755e-06,0.000297816089056897,0.000255371572520699,"SYTL1/ESPN/PROM2/SLC7A11/S100P/SLC26A2/FSCN1/MSN/ANGPT1/MYO7A/SLC38A4/RAPGEF3/LRRK2/PLEKHG6/SLC7A8/WWOX/MYO1D/PTPRH/CEACAM1",19
