"","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0008544","GO:0008544","epidermis development","63/1152","385/18870",6.21853587827708e-13,3.3866146393097e-09,2.66480626952274e-09,"KAZN/TGFB2/CRABP2/LCE1F/LCE1C/LCE3D/IVL/SPRR3/SPRR1B/GRHL3/KDF1/SPRR1A/S100A7/ABCA12/WNT10A/IL1A/ZBED2/CSTA/PITX2/EREG/FOXQ1/CCN2/CLDN4/EDA/NSDHL/GRHL2/ESRP1/KLF4/NOTCH1/SVEP1/AQP3/OVOL1/ST14/MYO7A/AKR1C3/DKK1/CALML5/PTHLH/KRT4/KRT78/KRT80/KRT6B/SCEL/DCT/SLITRK6/BMP4/TGM1/FA2H/NGFR/SOX9/DLX3/ALOX12B/ZNF750/KRT34/KRT15/KRT9/KRT16/APCDD1/MAFB/KRTDAP/KLK5/KLK7/NTF4",63
"GO:0043588","GO:0043588","skin development","49/1152","317/18870",1.73518877558386e-09,3.22984407109136e-06,2.54144910091674e-06,"KAZN/TGFB2/LCE1F/LCE1C/LCE3D/IVL/SPRR3/SPRR1B/GRHL3/KDF1/SPRR1A/S100A7/ABCA12/COL5A2/WNT10A/IL1A/ZBED2/CSTA/EREG/FOXQ1/CLDN4/EDA/NSDHL/GRHL2/KLF4/NOTCH1/AQP3/OVOL1/ST14/AKR1C3/DKK1/KRT4/KRT78/KRT80/KRT6B/SCEL/TGM1/FA2H/NGFR/SOX9/DLX3/ALOX12B/KRT9/KRT16/APCDD1/MAFB/COL5A3/RYR1/KLK5",49
"GO:0043410","GO:0043410","positive regulation of MAPK cascade","64/1152","474/18870",1.77920165502646e-09,3.22984407109136e-06,2.54144910091674e-06,"BCAR3/TGFB2/S100A12/S100A7/NTRK1/XDH/TGFA/MARCO/GPBAR1/IL1A/WNT7A/TNIK/ROBO1/KDR/FGB/FGA/FGG/FGFR3/CD74/HAVCR2/EDN1/UNC5CL/TREM2/AKAP12/CCN2/GCNT2/SEMA3A/CD36/GPR37/IGFBP3/MID1/GDF6/ANGPT1/GADD45G/SYK/NOTCH1/LPAR1/TLR4/NRP1/DKK1/ADAM8/TRPV4/LRRK2/FZD10/SPRY2/BMP4/PELI2/THBS1/SEMA7A/NOD2/MAP2K3/ALOX12B/ERN1/C1QTNF1/GAREM1/CDH2/BMP2/PLCB1/FGF21/GADD45B/GDF15/MAP3K10/PDGFB/MAPK8IP2",64
"GO:0034329","GO:0034329","cell junction assembly","60/1152","446/18870",6.61945666177411e-09,9.01239024500545e-06,7.09152843949536e-06,"NEGR1/S100A10/WNT4/SEMA4A/PKP1/NTRK1/DNER/FN1/GPBAR1/WNT7A/ILDR1/EPHB3/APOD/CLDN11/HOPX/UGT8/TLR2/KDR/ANK2/GJA1/CNTNAP2/ACTB/FSCN1/CLDN15/CAV1/ACHE/CLDN4/NRCAM/NLGN4X/POF1B/SRPX2/GPC4/FGF13/GPM6B/DLC1/GRHL2/BDNF/VSTM5/THY1/NRP1/DKK1/PTPRO/TRPV4/AMIGO2/PKP2/POU4F1/SLITRK6/GJB2/GJB6/LRFN5/FLRT2/THBS1/CLDN9/CLDN7/CDH2/CRB3/CAMSAP3/NLGN4Y/LARGE1/SHANK3",60
"GO:0050878","GO:0050878","regulation of body fluid levels","51/1152","365/18870",2.61982397637653e-08,2.85351227506931e-05,2.24532703322713e-05,"VAV3/F3/CHRM3/XDH/PRSS56/FAP/MERTK/PLEK/BTC/SLC7A11/FGB/FGA/FGG/NPR3/EDN1/GUCA1B/AGR2/TFPI2/SERPINE1/CD36/ACTB/CAV1/DGKI/APLN/PLAT/SYK/CEL/AQP3/TLR4/MUC2/CCND1/PAPSS2/PRKCQ/NEURL1/PTPRO/TRPV4/OAS2/SERPINA1/THBS1/ANXA2/SCNN1B/SCNN1G/HSD11B2/ALOX12B/C1QTNF1/SERPINB2/MYO5B/CYP4F12/AXL/CEACAM1/PDGFB",51
"GO:0045229","GO:0045229","external encapsulating structure organization","46/1152","323/18870",7.08110044186224e-08,5.66491178767101e-05,4.45751703570147e-05,"TNFRSF1B/TGFB2/COLGALT2/OLFML2B/ELF3/DDR2/MATN3/COL5A2/FAP/COL8A1/ADAMTS9/CCDC80/ABI3BP/PRDM5/ADAMTS12/COL12A1/FSCN1/AEBP1/CAV1/GPM6B/LOXL2/MMP16/TMEM38B/ADAMTSL1/NOTCH1/ECM2/MPZL3/ADAM8/COL4A2/COL4A1/TGM1/FLRT2/ANXA2/FOXC2/ZNF469/CRISPLD2/SOX9/BMP2/COL9A3/ADAMTS10/COL5A3/HPN/KLK5/KLK7/LARGE1/CHADL",46
"GO:0007411","GO:0007411","axon guidance","37/1152","233/18870",8.32157442184504e-08,5.66491178767101e-05,4.45751703570147e-05,"EPHA10/PLXNA2/NFASC/SEMA4A/DRAXIN/NTRK1/GDF7/EPHB3/SEMA3B/KALRN/ROBO1/BMPR1B/SLIT3/EDN1/SEMA3A/CRPPA/NRCAM/ANOS1/UNC5D/NOTCH1/HMCN2/LHX3/BDNF/ROBO4/NRP1/PRKCQ/MYPN/UNC5B/PTPRO/FLRT2/NEO1/SEMA7A/TUBB3/NGFR/NOG/WNT3/BMP7",37
"GO:0097485","GO:0097485","neuron projection guidance","37/1152","233/18870",8.32157442184504e-08,5.66491178767101e-05,4.45751703570147e-05,"EPHA10/PLXNA2/NFASC/SEMA4A/DRAXIN/NTRK1/GDF7/EPHB3/SEMA3B/KALRN/ROBO1/BMPR1B/SLIT3/EDN1/SEMA3A/CRPPA/NRCAM/ANOS1/UNC5D/NOTCH1/HMCN2/LHX3/BDNF/ROBO4/NRP1/PRKCQ/MYPN/UNC5B/PTPRO/FLRT2/NEO1/SEMA7A/TUBB3/NGFR/NOG/WNT3/BMP7",37
"GO:0009913","GO:0009913","epidermal cell differentiation","38/1152","245/18870",1.05099511783791e-07,6.35968823527252e-05,5.0042118417756e-05,"KAZN/LCE1F/LCE1C/LCE3D/IVL/SPRR3/SPRR1B/KDF1/SPRR1A/S100A7/ABCA12/IL1A/ZBED2/CSTA/PITX2/EREG/GRHL2/ESRP1/KLF4/NOTCH1/AQP3/OVOL1/ST14/MYO7A/AKR1C3/KRT4/KRT78/KRT80/KRT6B/SCEL/SLITRK6/BMP4/TGM1/FA2H/DLX3/KRT16/MAFB/KLK5",38
"GO:0030198","GO:0030198","extracellular matrix organization","45/1152","321/18870",1.56243495946204e-07,8.47383285795805e-05,6.66775684031684e-05,"TNFRSF1B/TGFB2/COLGALT2/OLFML2B/ELF3/DDR2/MATN3/COL5A2/FAP/COL8A1/ADAMTS9/CCDC80/ABI3BP/PRDM5/ADAMTS12/COL12A1/FSCN1/AEBP1/CAV1/GPM6B/LOXL2/MMP16/TMEM38B/ADAMTSL1/NOTCH1/ECM2/MPZL3/ADAM8/COL4A2/COL4A1/FLRT2/ANXA2/FOXC2/ZNF469/CRISPLD2/SOX9/BMP2/COL9A3/ADAMTS10/COL5A3/HPN/KLK5/KLK7/LARGE1/CHADL",45
